bucket,label,clip,path,width,height,codec,nb_frames,duration_s,real_fps,container_r_frame_rate
NVR_manual_records,unlabeled,HB_Ch44_1_2026-08-19_182130.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch44_1_2026-08-19_182130.mp4,1360,768,h264,8407,413.687,20.322,300/1
NVR_manual_records,unlabeled,HB_Ch46_1_2026-08-19_040530.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch46_1_2026-08-19_040530.mp4,1360,768,h264,8427,414.327,20.339,300/1
NVR_manual_records,unlabeled,HB_Ch46_1_2026-08-19_175148.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch46_1_2026-08-19_175148.mp4,1360,768,h264,12579,611.557,20.569,300/1
NVR_manual_records,unlabeled,HB_Ch52.1_2026-08-19_005052.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch52.1_2026-08-19_005052.mp4,1360,768,h264,8200,341.543,24.009,300/1
NVR_manual_records,unlabeled,HB_Ch52.1_2026-08-19_054742.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch52.1_2026-08-19_054742.mp4,1360,768,h264,12624,525.877,24.006,300/1
NVR_manual_records,unlabeled,HB_Ch54.1_2026-08-19_200010.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch54.1_2026-08-19_200010.mp4,1360,768,h264,8297,450.09,18.434,300/1
NVR_manual_records,unlabeled,HB_Ch55_2_2026-08-19_025230.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch55_2_2026-08-19_025230.mp4,1360,768,h264,12582,618.21,20.352,300/1
NVR_manual_records,unlabeled,HB_Ch56_2_2026-08-19_040112.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch56_2_2026-08-19_040112.mp4,1360,768,h264,16689,828.11,20.153,300/1
NVR_manual_records,unlabeled,HB_Ch56_2_2026-08-19_175200.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch56_2_2026-08-19_175200.mp4,1360,768,h264,4282,212.717,20.13,300/1
NVR_manual_records,unlabeled,HB_Ch57_2_2026-08-18_033629.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch57_2_2026-08-18_033629.mp4,1360,768,h264,12607,525.17,24.006,300/1
NVR_manual_records,unlabeled,HB_Ch61.1_2026-08-19_084700.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch61.1_2026-08-19_084700.mp4,1360,768,h264,12420,517.743,23.989,300/1
NVR_manual_records,unlabeled,HB_Ch66.2_2026-08-19_113057.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch66.2_2026-08-19_113057.mp4,1360,768,h264,8436,351.42,24.005,300/1
NVR_manual_records,unlabeled,HB_Ch68.2_2026-08-19_061000.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch68.2_2026-08-19_061000.mp4,1360,768,h264,8324,346.717,24.008,300/1
NVR_manual_records,unlabeled,HB_Ch70.1_2026-08-19_030559.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch70.1_2026-08-19_030559.mp4,1360,768,h264,16864,702.54,24.004,300/1
NVR_manual_records,unlabeled,HB_Ch70.1_2026-08-19_141343.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch70.1_2026-08-19_141343.mp4,1360,768,h264,12628,526.047,24.005,300/1
NewTPRecords,positive,TP_Ch53_1_2026-08-26_123330.mp4,all_video_data/NewTPRecords/MergedExtracted/TP_Ch53_1_2026-08-26_123330.mp4,1360,768,h264,8389,437.17,19.189,300/1
NewTPRecords,positive,TP_Ch53_1_2026-08-26_124000.mp4,all_video_data/NewTPRecords/MergedExtracted/TP_Ch53_1_2026-08-26_124000.mp4,1360,768,h264,8293,457.18,18.139,300/1
NewTPRecords,positive,TP_Ch53_2_2026-08-26_123330.mp4,all_video_data/NewTPRecords/MergedExtracted/TP_Ch53_2_2026-08-26_123330.mp4,1360,768,h264,8243,351.12,23.476,300/1
NewTPRecords,positive,TP_Ch53_2_2026-08-26_124000.mp4,all_video_data/NewTPRecords/MergedExtracted/TP_Ch53_2_2026-08-26_124000.mp4,1360,768,h264,12516,541.397,23.118,300/1
TrueFalls,positive,TP_Ch44_1_2026-08-06_065511.mp4,all_video_data/TrueFalls/MergedExtracted/TP_Ch44_1_2026-08-06_065511.mp4,1360,768,h264,16704,1113.423,15.002,300/1
